Station,Net,Comp.,NTCSoil,NTCTopo,PGA (cm/s^2),PGV (cm/s),PGD (cm),SA03s (cm/s^2),SA1s (cm/s^2),SA3s (cm/s^2),AI(cm/s),HI (cm),RE (km),RY (km),Status,Quality class,Check,Longitude,Latitude
CNCS,IV,HNZ,B**,T1,0.0989403,0.00229253,0.00011317,0.116304,0.00858,0.000909,0.00003601,0.0035223,128.5,128.6,Open,D,NO,10.217,45.606
CNCS,IV,HNN,B**,T1,0.110306,0.00393915,0.00245779,0.276223,0.012225,0.006308,0.00004441,0.00766357,128.5,128.6,Open,C,NO,10.217,45.606
CNCS,IV,HNE,B**,T1,0.10745,0.0039967,0.00097623,0.405492,0.013571,0.00199,0.00003196,0.00735346,128.5,128.6,Open,C,NO,10.217,45.606
CAPR,IV,HNZ,B**,T1,0.0488127,0.00097079,0.00021399,0.041162,0.01031,0.002153,0.00001255,0.0030474,131.6,131.7,Open,C,NO,9.9345,45.6372
CAPR,IV,HNN,B**,T1,0.0484109,0.00127832,0.00014356,0.082443,0.017195,0.000916,0.00001421,0.00427408,131.6,131.7,Open,C,NO,9.9345,45.6372
CAPR,IV,HNE,B**,T1,0.0129149,0.00036334,0.00004905,0.021389,0.003762,0.000853,0.00000113,0.00125805,131.6,131.7,Open,D,NO,9.9345,45.6372
SGAL,IV,HNZ,A*,T2,0.015442,0.00044177,0.0000498,0.029387,0.002641,0.000438,0.00000089,0.00113076,131.8,131.9,Open,D,NO,10.31064,45.563555
SGAL,IV,HNN,A*,T2,0.0392282,0.00062928,0.00005276,0.02412,0.00532,0.000471,0.00000236,0.00151879,131.8,131.9,Open,D,NO,10.31064,45.563555
SGAL,IV,HNE,A*,T2,0.0264954,0.00057815,0.00004193,0.022457,0.003261,0.00035,0.00000235,0.00123548,131.8,131.9,Open,D,NO,10.31064,45.563555
VARN,OX,HNZ,A*,T3*,0.0327305,0.00452623,0.00253506,0.099373,0.023809,0.020353,0.00000813,0.0135281,143.5,143.6,Open,D,NO,12.1051,45.9922
VARN,OX,HNN,A*,T3*,0.0592586,0.00356035,0.00069659,0.197293,0.016657,0.00138,0.00000815,0.00613966,143.5,143.6,Open,C,NO,12.1051,45.9922
VARN,OX,HNE,A*,T3*,0.0892763,0.00396471,0.00024039,0.265839,0.024379,0.001685,0.00001784,0.00949286,143.5,143.6,Open,A,NO,12.1051,45.9922
MERA,IV,HNZ,C**,T1,0.0636882,0.00214381,0.0001382,0.160017,0.008808,0.001059,0.00001036,0.00408202,144.4,144.5,Open,C,NO,9.4291,45.7054
MERA,IV,HNN,C**,T1,0.127729,0.0024528,0.00026554,0.16493,0.025396,0.001429,0.00018592,0.00893994,144.4,144.5,Open,D,NO,9.4291,45.7054
MERA,IV,HNE,C**,T1,0.0780744,0.00313547,0.00023152,0.191727,0.014748,0.001836,0.00007913,0.00769745,144.4,144.5,Open,C,NO,9.4291,45.7054
SANR,IV,HNZ,C,T1,0.454486,0.0161533,0.0058072,0.347386,0.181352,0.070001,0.00429735,0.0639481,145.5,145.6,Open,D,NO,11.6099,?45.64
SANR,IV,HNN,C,T1,1.62009,0.171271,0.0967034,2.92418,1.94815,0.55368,0.00509219,0.654879,145.5,145.6,Open,D,NO,11.6099,?45.64
SANR,IV,HNE,C,T1,0.295027,0.0126294,0.00228548,0.763791,0.077842,0.025021,0.00080663,0.0314445,145.5,145.6,Open,D,NO,11.6099,?45.64
ASOL,IV,HNZ,B**,T2*,0.312274,0.00656669,0.00069899,0.473069,0.038408,0.006527,0.00129359,0.0158369,145.7,145.8,Open,D,NO,11.9023,45.8003
ASOL,IV,HNN,B**,T2*,0.304288,0.0117121,0.00061153,0.55418,0.038078,0.003302,0.00028895,0.0214638,145.7,145.8,Open,B,NO,11.9023,45.8003
ASOL,IV,HNE,B**,T2*,0.366876,0.0167393,0.00088628,0.890568,0.097127,0.004876,0.00033484,0.0322927,145.7,145.8,Open,B,NO,11.9023,45.8003
CADC,IV,HNZ,C**,T1,0.0633352,0.00165864,0.00019753,0.084581,0.015807,0.003226,0.00002754,0.0058241,146.3,146.4,Open,C,NO,10.128662,45.455464
CADC,IV,HNN,C**,T1,0.0407176,0.0030344,0.0004356,0.104508,0.065606,0.00404,0.00001513,0.0126451,146.3,146.4,Open,D,NO,10.128662,45.455464
CADC,IV,HNE,C**,T1,0.0494898,0.00334483,0.00051877,0.114186,0.053696,0.003965,0.00001504,0.0121875,146.3,146.4,Open,D,NO,10.128662,45.455464
